DateTime,Zone 1 Power Consumption,Temperature,Humidity,Wind Speed,general diffuse flows,diffuse flows
2017-01-01 00:00:00,34055.6962,6.559,73.8,0.083,0.051,0.119
2017-01-01 00:10:00,29814.68354,6.414,74.5,0.083,0.07,0.085
2017-01-01 00:20:00,29128.10127,6.313,74.5,0.08,0.062,0.1
2017-01-01 00:30:00,28228.86076,6.121,75.0,0.083,0.091,0.096
2017-01-01 00:40:00,27335.6962,5.921,75.7,0.081,0.048,0.085
2017-01-01 00:50:00,26624.81013,5.853,76.9,0.081,0.059,0.108
2017-01-01 01:00:00,25998.98734,5.641,77.7,0.08,0.048,0.096
2017-01-01 01:10:00,25446.07595,5.496,78.2,0.085,0.055,0.093
2017-01-01 01:20:00,24777.72152,5.678,78.1,0.081,0.066,0.141
2017-01-01 01:30:00,24279.49367,5.491,77.3,0.082,0.062,0.111
2017-01-01 01:40:00,23896.70886,5.516,77.5,0.081,0.051,0.108
2017-01-01 01:50:00,23544.3038,5.471,76.7,0.083,0.059,0.126
2017-01-01 02:00:00,23003.5443,5.059,78.6,0.081,0.07,0.096
2017-01-01 02:10:00,22329.11392,4.968,78.8,0.084,0.07,0.134
2017-01-01 02:20:00,22092.1519,4.975,78.9,0.083,0.055,0.152
2017-01-01 02:30:00,21903.79747,4.897,79.1,0.083,0.07,0.096
2017-01-01 02:40:00,21685.06329,5.02,79.7,0.081,0.051,0.134
2017-01-01 02:50:00,21484.55696,5.407,78.5,0.082,0.062,0.163
2017-01-01 03:00:00,21107.8481,5.169,77.9,0.083,0.066,0.108
2017-01-01 03:10:00,20998.48101,5.081,77.7,0.084,0.051,0.13
2017-01-01 03:20:00,20870.88608,5.041,77.2,0.081,0.062,0.152
2017-01-01 03:30:00,20870.88608,5.034,76.9,0.083,0.051,0.185
2017-01-01 03:40:00,20597.46835,4.896,76.6,0.085,0.07,0.137
2017-01-01 03:50:00,20421.26582,4.805,76.2,0.081,0.059,0.134
2017-01-01 04:00:00,20524.55696,4.753,75.7,0.083,0.044,0.134
2017-01-01 04:10:00,20482.02532,4.901,74.4,0.083,0.07,0.122
2017-01-01 04:20:00,20530.63291,5.203,74.1,0.085,0.062,0.096
2017-01-01 04:30:00,20512.40506,5.394,71.9,0.081,0.073,0.1
2017-01-01 04:40:00,20494.17722,5.156,74.0,0.079,0.062,0.148
2017-01-01 04:50:00,20311.89873,5.179,74.2,0.083,0.037,0.137
2017-01-01 05:00:00,20542.78481,4.934,72.9,0.082,0.055,0.134
2017-01-01 05:10:00,20621.77215,4.718,75.8,0.08,0.051,0.152
2017-01-01 05:20:00,20627.8481,5.546,74.0,0.082,0.055,0.093
2017-01-01 05:30:00,20797.97468,4.658,73.5,0.08,0.044,0.104
2017-01-01 05:40:00,20858.73418,4.382,76.9,0.081,0.073,0.148
2017-01-01 05:50:00,21393.41772,4.212,78.3,0.081,0.117,0.082
2017-01-01 06:00:00,22219.74684,4.308,77.2,0.081,0.062,0.126
2017-01-01 06:10:00,21928.10127,4.735,74.3,0.08,0.04,0.156
2017-01-01 06:20:00,21776.20253,4.769,75.6,0.082,0.099,0.063
2017-01-01 06:30:00,21654.68354,4.92,73.7,0.083,0.099,0.096
2017-01-01 06:40:00,21466.32911,4.408,76.7,0.082,0.037,0.119
2017-01-01 06:50:00,20846.58228,4.29,77.0,0.085,0.033,0.193
2017-01-01 07:00:00,19983.79747,4.304,76.0,0.082,0.048,0.152
2017-01-01 07:10:00,18908.35443,4.513,74.6,0.084,0.055,0.134
2017-01-01 07:20:00,18167.08861,4.489,74.3,0.082,0.081,0.119
2017-01-01 07:30:00,18075.94937,4.356,72.3,0.082,0.07,0.119
2017-01-01 07:40:00,18063.79747,4.478,72.2,0.083,0.073,0.089
2017-01-01 07:50:00,18045.56962,4.583,71.0,0.083,0.066,0.104
2017-01-01 08:00:00,18385.82278,4.794,72.0,0.084,0.187,0.145
2017-01-01 08:10:00,18987.34177,4.807,73.1,0.082,0.955,0.949
2017-01-01 08:20:00,19576.70886,4.757,73.5,0.083,3.188,3.134
2017-01-01 08:30:00,19837.97468,4.509,74.5,0.084,6.643,6.494
2017-01-01 08:40:00,20166.07595,4.346,74.8,0.082,12.64,10.13
2017-01-01 08:50:00,20676.4557,4.718,73.7,0.081,58.97,17.0
2017-01-01 09:00:00,21296.20253,4.704,71.8,0.083,82.5,20.15
2017-01-01 09:10:00,22043.5443,4.624,74.1,0.082,106.9,22.55
2017-01-01 09:20:00,22651.13924,4.629,74.8,0.083,132.1,24.3
2017-01-01 09:30:00,23131.13924,4.599,74.0,0.082,156.1,26.9
2017-01-01 09:40:00,23641.51899,4.524,74.7,0.081,182.4,28.19
2017-01-01 09:50:00,24668.35443,4.575,74.5,0.082,208.8,29.2
2017-01-01 10:00:00,25275.94937,5.124,73.7,0.076,234.8,29.23
2017-01-01 10:10:00,25920.0,5.836,71.3,2.66,257.9,31.01
2017-01-01 10:20:00,26393.92405,5.996,69.85,4.93,282.7,31.96
2017-01-01 10:30:00,26861.77215,6.22,68.81,4.924,307.0,32.42
2017-01-01 10:40:00,27511.89873,6.703,68.01,4.923,327.6,33.22
2017-01-01 10:50:00,28149.87342,6.993,66.14,4.918,349.6,33.41
2017-01-01 11:00:00,28714.93671,7.54,64.21,4.916,371.1,33.43
2017-01-01 11:10:00,29043.03797,8.22,61.9,4.916,388.2,33.89
2017-01-01 11:20:00,29261.77215,9.49,59.3,2.451,401.3,34.4
2017-01-01 11:30:00,29474.43038,10.65,56.03,0.084,419.5,35.29
2017-01-01 11:40:00,29523.03797,11.06,53.52,0.082,430.9,37.58
2017-01-01 11:50:00,29711.39241,12.4,53.26,0.08,437.5,43.46
2017-01-01 12:00:00,29644.55696,13.08,54.36,0.077,450.4,43.2
2017-01-01 12:10:00,29802.53165,14.38,54.42,0.076,470.5,37.92
2017-01-01 12:20:00,29887.59494,15.02,56.46,0.074,480.0,38.81
2017-01-01 12:30:00,30039.49367,15.55,58.7,0.075,486.1,39.46
2017-01-01 12:40:00,29966.58228,15.56,59.23,0.076,490.2,40.92
2017-01-01 12:50:00,29996.96203,15.49,59.3,0.076,495.9,40.9
2017-01-01 13:00:00,30258.22785,15.57,58.06,0.077,498.1,40.94
2017-01-01 13:10:00,30404.05063,15.65,58.7,0.077,498.1,42.75
2017-01-01 13:20:00,30094.17722,15.73,59.33,0.076,498.8,44.65
2017-01-01 13:30:00,30161.01266,15.68,58.6,0.079,497.0,44.26
2017-01-01 13:40:00,30318.98734,15.7,55.29,0.074,489.2,39.32
2017-01-01 13:50:00,30154.93671,15.75,52.45,0.077,482.4,38.65
2017-01-01 14:00:00,29984.81013,15.83,54.99,0.079,476.1,39.49
2017-01-01 14:10:00,30021.26582,15.79,56.66,0.076,467.7,39.94
2017-01-01 14:20:00,30021.26582,15.72,55.86,0.077,456.1,39.95
2017-01-01 14:30:00,29911.89873,15.8,54.06,0.075,449.2,41.52
2017-01-01 14:40:00,29747.8481,15.74,55.56,0.075,437.4,44.13
2017-01-01 14:50:00,29705.31646,15.72,56.69,0.077,422.0,43.87
2017-01-01 15:00:00,29571.64557,15.64,57.26,0.077,409.0,44.9
2017-01-01 15:10:00,29553.41772,15.69,57.96,0.074,391.8,46.89
2017-01-01 15:20:00,29383.29114,15.69,58.93,0.075,369.4,51.51
2017-01-01 15:30:00,29061.26582,15.6,58.7,0.073,321.0,57.14
2017-01-01 15:40:00,28885.06329,15.39,57.6,0.075,180.3,60.31
2017-01-01 15:50:00,28854.68354,15.34,58.7,0.075,149.5,67.85
2017-01-01 16:00:00,28836.4557,15.33,59.23,0.077,209.1,128.9
2017-01-01 16:10:00,28708.86076,15.48,57.46,0.074,265.1,219.1
2017-01-01 16:20:00,28556.96203,15.54,58.3,0.076,241.3,246.0
2017-01-01 16:30:00,28514.43038,15.53,58.8,0.077,219.0,248.1
2017-01-01 16:40:00,28666.32911,15.48,57.73,0.075,195.7,231.6
2017-01-01 16:50:00,29097.72152,15.47,58.23,0.077,174.9,211.9
2017-01-01 17:00:00,29723.5443,15.44,59.07,0.076,165.8,201.7
2017-01-01 17:10:00,30871.89873,15.35,59.3,0.077,132.0,163.0
